,"J-S div (O-AR, 0)","J-S div (O-PR, 0)","J-S div (O-AR, 1)","J-S div (O-PR, 1)","Pearson (O-AR, 0)","Pearson (O-PR, 0)","Pearson (O-AR, 1)","Pearson (O-PR, 1)","Spearman (O-AR, 0)","p-value (O-AR, 0)","Spearman (O-PR, 0)","p-value (O-PR, 0)","Spearman (O-AR, 1)","p-value (O-AR, 1)","Spearman (O-PR, 1)","p-value (O-PR, 1)","RBO (O-AR, 0, red)","RBO (O-PR, 0, red)","RBO (O-AR, 1, red)","RBO (O-PR, 1, red)","RBO (O-AR, 0, syn)","RBO (O-PR, 0, syn)","RBO (O-AR, 1, syn)","RBO (O-PR, 1, syn)"
117122,0.04598816487986056,0.007272824178122184,0.1445882204609964,0.05969432299930101,0.788231617002732,0.8138461105331952,0.7759435246794956,0.8329040314385386,0.775825079353003,0.0,0.799557953966318,0.0,0.6938281735771268,0.0,0.7782675958347037,0.0,0.7793573180905622,0.7955033939813915,0.7714264793440089,0.8051391101280243,0.7252317823850744,0.7367353638961347,0.6910824490959881,0.7272811082979508
118528,0.04631795561604732,0.15556977346696074,0.0634885553527555,1.9114203457691967,0.7308755080322552,0.7594014401482098,0.7285669019404075,0.7883601771676478,0.5124739217789568,0.0,0.5822975923799035,0.0,0.5538650096426002,0.0,0.6612425131697005,0.0,0.7294952501768358,0.7552591280352215,0.7362390714300001,0.7767982285056122,0.6387066050553942,0.6521612065784749,0.6554816762266968,0.6876820419204466
118730,0.007151217921851206,0.10267895268959908,0.22693082273754533,0.18804932877704444,0.7290668440321176,0.7197156594266045,0.6414100740933741,0.6626082623194738,0.5519514439660577,0.0,0.5417380158455206,0.0,0.4714575228903008,3.605871577221809e-275,0.492229403049176,1.7315437062156664e-303,0.7384609443098361,0.7392452994386005,0.7037056413089161,0.7180893368086042,0.6515506278236728,0.6449735294400503,0.6130515793105856,0.6220133199273603
118932,0.006119878651580358,0.0070711494620027664,0.004377899529151116,0.5346525752819351,0.737968586884752,0.8209765202318051,0.748832197864,0.7588369333784158,0.6785212552048501,0.0,0.7968991443879657,0.0,0.6923816389912655,0.0,0.6813237409809495,0.0,0.7547781241007222,0.7998220195719745,0.7649973183229093,0.7718387308940671,0.6879147929659514,0.7409745476886864,0.684739118050423,0.6726484393472674
120111,2.735711149329391,0.05077489222882456,0.1819985760340099,0.042045894070856134,0.7521882692601227,0.7748044688796197,0.6184576663584695,0.6462138661824555,0.6095031152601245,0.0,0.6336503895380154,0.0,0.5954737413229496,0.0,0.6226633826345352,0.0,0.7532747287493705,0.7676942166938253,0.704079932124642,0.7182841669594169,0.6632882150055268,0.6673032445227551,0.6574968855951089,0.6665997838390585
122317,0.13418642101922262,0.005199557493863052,0.035258117863453696,0.027057334795762812,0.7234255077256418,0.7506890815665791,0.6524342586691972,0.7048378941482091,0.657587649791506,0.0,0.6742461567298462,0.0,0.4393426195257047,4.537480055743266e-235,0.4839577488623099,5.627493046817223e-292,0.7512191820616075,0.7679828501472568,0.7016585313735731,0.72546429880155,0.6668434913434416,0.6790401204474531,0.6105399908571841,0.617308267201758
122620,0.004021748586157217,0.0021646844469328215,2.5688460324959115,2.905483068738262,0.6706857365937626,0.6794876679282444,0.661939129041914,0.7440422010928835,0.4382553482502139,8.717928199578845e-234,0.43904154748166185,1.0297237384111145e-234,0.5647395145255805,0.0,0.6344648373465934,0.0,0.6988296251574644,0.7049601022356843,0.7177838761177636,0.7574713327026569,0.6051898110602216,0.6005832477369613,0.6472249716603053,0.6651920222746732
123117,0.04231409651348353,0.028062180035388507,0.015978118327859663,0.1222759563184789,0.48004042327283103,0.467870740002455,0.5279636129552102,0.5087662511712104,0.3352310440012417,1.4000502204010032e-131,0.3130281496731259,4.299066241499549e-114,0.3589807097832283,5.858106104566034e-152,0.3300250138090005,2.3951921717967808e-127,0.6574592895903478,0.6535471400995937,0.6593155804923275,0.6511756373762623,0.5727796962611427,0.5746189244964002,0.5903265255693662,0.5843671143495054
123925,0.008477898389744911,0.0035663361414060863,0.003640945184405776,0.011301236816397348,0.822298856243802,0.8318100839015028,0.8364059827797798,0.8187226599704174,0.7887556314862251,0.0,0.7926611354184452,0.0,0.778539101221564,0.0,0.7573194848207793,0.0,0.8017150698952876,0.8048112808285118,0.807892172889325,0.7973908486293758,0.7420271120865138,0.7407428504981077,0.7322520758639218,0.7229828905617365
124422,0.03536935972287442,0.01514171806665968,0.020167274635770355,0.05392731658457158,0.7685553112864992,0.7975774974136132,0.6238657872600286,0.630940682538917,0.4971431955977278,0.0,0.5650136476245459,0.0,0.3887633285745331,4.242444054328671e-180,0.3896677420187096,5.322513712000067e-181,0.7326589339507716,0.756942241494964,0.6832317678101182,0.6818089382472692,0.6274832908065375,0.6506229304292327,0.5837309280077727,0.5911205124535486
125525,0.1336109001660415,0.045211249325080055,0.011156293082031542,0.00184609054053688,0.7858937795009486,0.8234891190265504,0.7505258832379211,0.7890547261341418,0.7582478275139128,0.0,0.8010278991131159,0.0,0.7409720075268803,0.0,0.7788771211710848,0.0,0.7797778538147178,0.8019843333244767,0.7596189324560257,0.7807802103202591,0.7215990587987026,0.7480118514140685,0.7227041682308577,0.7393440228484852
126325,0.017370908032542504,0.0060189621802348384,0.013282659827824738,0.0334042616663516,0.8177519023290853,0.8301726739442257,0.7132033565760119,0.7658898414461676,0.7837038294281531,0.0,0.7706896152115846,0.0,0.6602586076903443,0.0,0.6997179640847185,0.0,0.7968234709382317,0.8003653463854851,0.7477158003934538,0.7738135983266062,0.7277609447714183,0.71138073626071,0.6768975721410609,0.6842640432826289
127630,0.011377181016336078,0.03190023522433061,0.0032351598316883463,0.02796692623803809,0.823080169888175,0.8264851951323234,0.6217258998146086,0.6871151650607032,0.8323577381583095,0.0,0.8316840067713601,0.0,0.4238958804118351,2.8768813168141206e-217,0.5288264111370564,0.0,0.7908066768112165,0.7972830230205211,0.6956974822219988,0.7307910925600036,0.7748666787108663,0.7719513922405049,0.5968552463850577,0.6274209016264336
127933,0.30274164031880857,0.04110791495937276,0.3842805453400211,0.34426913810271553,0.6195368120103848,0.6414637673173684,0.8259503674724343,0.8142126239248887,0.45126676118667036,1.8532345578318334e-249,0.45108788591551535,3.0764727008986404e-249,0.7606030908401236,0.0,0.7400601749144069,0.0,0.6949873910149623,0.7048208402008818,0.8005575804487862,0.7948323916188236,0.6150028632010921,0.6123018657433867,0.7226592381396199,0.7165753742314734
